player_id,Season,Player,Club,Goals
576,1992–93,Teddy Sheringham,Tottenham Hotspur,22.0
725,1993–94,Andy Cole,Newcastle United,34.0
89,1994–95,Alan Shearer,Blackburn Rovers,34.0
89,1995–96,Alan Shearer,Blackburn Rovers,31.0
89,1996–97,Alan Shearer,Newcastle United,25.0
390,1997–98,Chris Sutton,Blackburn Rovers,18.0
338,1997–98,Dion Dublin,Coventry City,18.0
1208,1997–98,Michael Owen,Liverpool,18.0
1208,1998–99,Michael Owen,Liverpool,18.0
59,1998–99,Dwight Yorke,Manchester United,18.0
1413,1998–99,Jimmy Floyd Hasselbaink,Leeds United,18.0
1768,1999–2000,Kevin Phillips,Sunderland,30.0
1413,2000–01,Jimmy Floyd Hasselbaink,Chelsea,23.0
1659,2001–02,Thierry Henry,Arsenal,24.0
2117,2002–03,Ruud van Nistelrooy,Manchester United,25.0
1659,2003–04,Thierry Henry,Arsenal,30.0
1659,2004–05,Thierry Henry,Arsenal,25.0
1659,2005–06,Thierry Henry,Arsenal,27.0
2662,2006–07,Didier Drogba,Chelsea,20.0
2522,2007–08,Cristiano Ronaldo,Manchester United,31.0
1135,2008–09,Nicolas Anelka,Chelsea,19.0
2662,2009–10,Didier Drogba,Chelsea,29.0
3281,2010–11,Carlos Tevez,Manchester City,20.0
3247,2010–11,Dimitar Berbatov,Manchester United,20.0
2616,2011–12,Robin van Persie,Arsenal,30.0
2616,2012–13,Robin van Persie,Manchester United,26.0
4138,2013–14,Luis Suárez,Liverpool,31.0
4328,2014–15,Sergio Agüero,Manchester City,26.0
3960,2015–16,Harry Kane,Tottenham Hotspur,25.0
3960,2016–17,Harry Kane,Tottenham Hotspur,29.0
5178,2017–18,Mohamed Salah,Liverpool,32.0
5110,2018–19,Pierre-Emerick Aubameyang,Arsenal,22.0
6519,2018–19,Sadio Mané,Liverpool,22.0
5178,2018–19,Mohamed Salah,Liverpool,22.0
8979,2019–20,Jamie Vardy,Leicester City,23.0
3960,2020–21,Harry Kane,Tottenham Hotspur,23.0
5178,2021–22,Mohamed Salah,Liverpool,23.0
4999,2021–22,Son Heung-min,Tottenham Hotspur,23.0
65970,2022–23,Erling Haaland,Manchester City,
65970,2023–24,Erling Haaland,Manchester City,27.0
5178,2024–25,Mohamed Salah,Liverpool,29.0
