player_id,Season,Player,Club,Position,Nationality
89,1994–95,Alan Shearer,Blackburn Rovers,Forward,England
307,1995–96,Peter Schmeichel,Manchester United,Goalkeeper,Denmark
1072,1996–97,Juninho Paulista,Middlesbrough,Midfielder,Brazil
1208,1997–98,Michael Owen,Liverpool,Forward,England
59,1998–99,Dwight Yorke,Manchester United,Forward,Trinidad and Tobago
1768,1999–2000,Kevin Phillips,Sunderland,Forward,England
1132,2000–01,Patrick Vieira,Arsenal,Midfielder,France
1497,2001–02,Freddie Ljungberg,Arsenal,Midfielder,Sweden
2117,2002–03,Ruud van Nistelrooy,Manchester United,Forward,Netherlands
1659,2003–04,Thierry Henry,Arsenal,Forward,France
800,2004–05,Frank Lampard,Chelsea,Midfielder,England
1659,2005–06,Thierry Henry,Arsenal,Forward,France
2522,2006–07,Cristiano Ronaldo,Manchester United,Forward,Portugal
2522,2007–08,Cristiano Ronaldo,Manchester United,Forward,Portugal
2935,2008–09,Nemanja Vidić,Manchester United,Defender,Serbia
2064,2009–10,Wayne Rooney,Manchester United,Forward,England
2935,2010–11,Nemanja Vidić,Manchester United,Defender,Serbia
3653,2011–12,Vincent Kompany,Manchester City,Defender,Belgium
3513,2012–13,Gareth Bale,Tottenham Hotspur,Midfielder,Wales
4138,2013–14,Luis Suárez,Liverpool,Forward,Uruguay
4503,2014–15,Eden Hazard,Chelsea,Midfielder,Belgium
8979,2015–16,Jamie Vardy,Leicester City,Forward,England
13492,2016–17,N'Golo Kanté,Chelsea,Midfielder,France
5178,2017–18,Mohamed Salah,Liverpool,Forward,Egypt
5140,2018–19,Virgil van Dijk,Liverpool,Defender,Netherlands
4288,2019–20,Kevin De Bruyne,Manchester City,Midfielder,Belgium
16431,2020–21,Rúben Dias,Manchester City,Defender,Portugal
4288,2021–22,Kevin De Bruyne,Manchester City,Midfielder,Belgium
65970,2022–23,Erling Haaland,Manchester City,Forward,Norway
14805,2023–24,Phil Foden,Manchester City,Midfielder,England
5178,2024–25,Mohamed Salah,Liverpool,Forward,Egypt
