player_id,player,titles,nationality,position,clubs,seasons
335,Ryan Giggs,13,WAL,MF,Manchester United,"1992–93, 1993–94, 1995–96, 1996–97, 1998–99, 1999–2000, 2000–01, 2002–03, 2006–07, 2007–08, 2008–09, 2010–11, 2012–13"
336,Paul Scholes,11,ENG,MF,Manchester United,"1995–96, 1996–97, 1998–99, 1999–2000, 2000–01, 2002–03, 2006–07, 2007–08, 2008–09, 2010–11, 2012–13"
321,Gary Neville,8,ENG,DF,Manchester United,"1995–96, 1996–97, 1998–99, 1999–2000, 2000–01, 2002–03, 2006–07, 2008–09"
315,Denis Irwin,7,IRL,DF,Manchester United,"1992–93, 1993–94, 1995–96, 1996–97, 1998–99, 1999–2000, 2000–01"
407,Roy Keane,7,IRL,MF,Manchester United,"1993–94, 1995–96, 1996–97, 1998–99, 1999–2000, 2000–01, 2002–03"
331,David Beckham,6,ENG,MF,Manchester United,"1995–96, 1996–97, 1998–99, 1999–2000, 2000–01, 2002–03"
332,Nicky Butt,6,ENG,MF,Manchester United,"1995–96, 1996–97, 1998–99, 1999–2000, 2000–01, 2002–03"
921,Phil Neville,6,ENG,MF,Manchester United,"1995–96, 1996–97, 1998–99, 1999–2000, 2000–01, 2002–03"
1217,Ole Gunnar Solskjær,6,NOR,FW,Manchester United,"1996–97, 1998–99, 1999–2000, 2000–01, 2002–03, 2006–07"
1111,Rio Ferdinand,6,ENG,DF,Manchester United,"2002–03, 2006–07, 2007–08, 2008–09, 2010–11, 2012–13"
4288,Kevin De Bruyne,6,BEL,MF,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22, 2022–23, 2023–24"
12707,Ederson,6,BRA,GK,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22, 2022–23, 2023–24"
14805,Phil Foden,6,ENG,MF,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22, 2022–23, 2023–24"
5067,Bernardo Silva,6,POR,MF,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22, 2022–23, 2023–24"
4505,John Stones,6,ENG,DF,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22, 2022–23, 2023–24"
3955,Kyle Walker,6,ENG,DF,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22, 2022–23, 2023–24"
307,Peter Schmeichel,5,DEN,GK,Manchester United,"1992–93, 1993–94, 1995–96, 1996–97, 1998–99"
725,Andy Cole,5,ENG,FW,Manchester United,"1995–96, 1996–97, 1998–99, 1999–2000, 2000–01"
1211,Wes Brown,5,ENG,DF,Manchester United,"1998–99, 2000–01, 2002–03, 2006–07, 2007–08"
1717,John O'Shea,5,IRL,DF,Manchester United,"2002–03, 2006–07, 2007–08, 2008–09, 2010–11"
1353,John Terry,5,ENG,DF,Chelsea,"2004–05, 2005–06, 2009–10, 2014–15, 2016–17"
1634,Michael Carrick,5,ENG,MF,Manchester United,"2006–07, 2007–08, 2008–09, 2010–11, 2012–13"
2934,Patrice Evra,5,FRA,DF,Manchester United,"2006–07, 2007–08, 2008–09, 2010–11, 2012–13"
1943,Darren Fletcher,5,SCO,MF,Manchester United,"2006–07, 2007–08, 2008–09, 2010–11, 2012–13"
2064,Wayne Rooney,5,ENG,FW,Manchester United,"2006–07, 2007–08, 2008–09, 2010–11, 2012–13"
2935,Nemanja Vidić,5,SRB,DF,Manchester United,"2006–07, 2007–08, 2008–09, 2010–11, 2012–13"
4328,Sergio Agüero,5,ARG,FW,Manchester City,"2011–12, 2013–14, 2017–18, 2018–19, 2020–21"
4804,Fernandinho,5,BRA,MF,Manchester City,"2013–14, 2017–18, 2018–19, 2020–21, 2021–22"
8983,Riyad Mahrez,5,ALG,FW,"Leicester City (1), Manchester City (4)","2015–16, 2018–19, 2020–21, 2021–22, 2022–23"
5101,İlkay Gündoğan,5,GER,MF,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22, 2022–23"
11044,Aymeric Laporte,5,ESP,DF,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22, 2022–23"
342,Eric Cantona,4,FRA,FW,Manchester United,"1992–93, 1993–94, 1995–96, 1996–97"
337,Brian McClair,4,SCO,FW,Manchester United,"1992–93, 1993–94, 1995–96, 1996–97"
320,Gary Pallister,4,ENG,DF,Manchester United,"1992–93, 1993–94, 1995–96, 1996–97"
1719,Mikaël Silvestre,4,FRA,DF,Manchester United,"1999–2000, 2000–01, 2002–03, 2006–07"
2651,Petr Čech,4,CZE,GK,Chelsea,"2004–05, 2005–06, 2009–10, 2014–15"
2662,Didier Drogba,4,CIV,FW,Chelsea,"2004–05, 2005–06, 2009–10, 2014–15"
2940,Park Ji-sung,4,KOR,MF,Manchester United,"2006–07, 2007–08, 2008–09, 2010–11"
2070,Edwin van der Sar,4,NED,GK,Manchester United,"2006–07, 2007–08, 2008–09, 2010–11"
3446,Anderson,4,BRA,MF,Manchester United,"2007–08, 2008–09, 2010–11, 2012–13"
3447,Nani,4,POR,FW,Manchester United,"2007–08, 2008–09, 2010–11, 2012–13"
3653,Vincent Kompany,4,BEL,DF,Manchester City,"2011–12, 2013–14, 2017–18, 2018–19"
4145,David Silva,4,ESP,MF,Manchester City,"2011–12, 2013–14, 2017–18, 2018–19"
19680,Gabriel Jesus,4,BRA,FW,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22"
4316,Raheem Sterling,4,ENG,FW,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22"
19620,Oleksandr Zinchenko,4,UKR,DF,Manchester City,"2017–18, 2018–19, 2020–21, 2021–22"
4499,Nathan Aké,4,NED,DF,Manchester City,"2020–21, 2021–22, 2022–23, 2023–24"
16431,Rúben Dias,4,POR,DF,Manchester City,"2020–21, 2021–22, 2022–23, 2023–24"
16286,Rodri,4,ESP,MF,Manchester City,"2020–21, 2021–22, 2022–23, 2023–24"
319,Steve Bruce,3,ENG,DF,Manchester United,"1992–93, 1993–94, 1995–96"
328,Lee Sharpe,3,ENG,MF,Manchester United,"1992–93, 1993–94, 1995–96"
74,Henning Berg,3,NOR,DF,"Blackburn Rovers (1), Manchester United (2)","1994–95, 1998–99, 1999–2000"
1210,Ronny Johnsen,3,NOR,DF,Manchester United,"1996–97, 1998–99, 2000–01"
991,Dennis Bergkamp,3,NED,FW,Arsenal,"1997–98, 2001–02, 2003–04"
14,Martin Keown,3,ENG,DF,Arsenal,"1997–98, 2001–02, 2003–04"
19,Ray Parlour,3,ENG,MF,Arsenal,"1997–98, 2001–02, 2003–04"
1132,Patrick Vieira,3,FRA,MF,Arsenal,"1997–98, 2001–02, 2003–04"
576,Teddy Sheringham,3,ENG,FW,Manchester United,"1998–99, 1999–2000, 2000–01"
1580,Jaap Stam,3,NED,DF,Manchester United,"1998–99, 1999–2000, 2000–01"
59,Dwight Yorke,3,TRI,MF,Manchester United,"1998–99, 1999–2000, 2000–01"
1494,Ashley Cole,3,ENG,DF,"Arsenal (2), Chelsea (1)","2001–02, 2003–04, 2009–10"
2413,Gaël Clichy,3,FRA,DF,"Arsenal (1), Manchester City (2)","2003–04, 2011–12, 2013–14"
2653,Ricardo Carvalho,3,POR,DF,Chelsea,"2004–05, 2005–06, 2009–10"
1632,Joe Cole,3,ENG,MF,Chelsea,"2004–05, 2005–06, 2009–10"
2654,Paulo Ferreira,3,POR,DF,Chelsea,"2004–05, 2005–06, 2009–10"
2053,Robert Huth,3,GER,DF,"Chelsea (2), Leicester City (1)","2004–05, 2005–06, 2015–16"
800,Frank Lampard,3,ENG,MF,Chelsea,"2004–05, 2005–06, 2009–10"
2522,Cristiano Ronaldo,3,POR,FW,Manchester United,"2006–07, 2007–08, 2008–09"
2818,Tomasz Kuszczak,3,POL,GK,Manchester United,"2006–07, 2007–08, 2010–11"
3281,Carlos Tevez,3,ARG,FW,"Manchester United (2), Manchester City (1)","2007–08, 2008–09, 2011–12"
3156,Jonny Evans,3,NIR,DF,Manchester United,"2008–09, 2010–11, 2012–13"
3664,Rafael,3,BRA,DF,Manchester United,"2008–09, 2010–11, 2012–13"
3360,Branislav Ivanović,3,SRB,DF,Chelsea,"2009–10, 2014–15, 2016–17"
2100,James Milner,3,ENG,MF,"Manchester City (2), Liverpool (1)","2011–12, 2013–14, 2019–20"
4148,Yaya Touré,3,CIV,MF,Manchester City,"2011–12, 2013–14, 2017–18"
5575,Benjamin Mendy,3,FRA,DF,Manchester City,"2017–18, 2018–19, 2020–21"
5051,João Cancelo,3,POR,DF,Manchester City,"2020–21, 2021–22, 2022–23"
4260,Jack Grealish,3,ENG,MF,Manchester City,"2021–22, 2022–23, 2023–24"
